Employee_ID,Month,Attendance_Percent
EMP10472,2023-10,89
EMP10472,2023-11,76
EMP10472,2023-12,84
EMP10472,2024-01,93
EMP12197,2022-01,70
EMP12197,2022-02,98
EMP12197,2022-03,77
EMP12197,2022-04,90
EMP12197,2022-05,91
EMP12197,2022-06,99
EMP12197,2022-07,77
EMP12197,2022-08,79
EMP12197,2022-09,86
EMP12197,2022-10,70
EMP12197,2022-11,93
EMP12197,2022-12,83
EMP12197,2023-01,97
EMP12197,2023-02,77
EMP12197,2023-03,89
EMP12197,2023-04,96
EMP12197,2023-05,97
EMP12197,2023-06,84
EMP12197,2023-07,98
EMP12197,2023-08,90
EMP12197,2023-09,94
EMP12197,2023-10,99
EMP12197,2023-11,87
EMP12197,2023-12,99
EMP12197,2024-01,70
EMP12873,2022-01,92
EMP12873,2022-02,79
EMP12873,2022-03,73
EMP12873,2022-04,76
EMP12873,2022-05,96
EMP12873,2022-06,100
EMP12873,2022-07,88
EMP12873,2022-08,80
EMP12873,2022-09,89
EMP12873,2022-10,79
EMP12873,2022-11,100
EMP12873,2022-12,93
EMP12873,2023-01,86
EMP12873,2023-02,99
EMP12873,2023-03,76
EMP12873,2023-04,76
EMP12873,2023-05,91
EMP12873,2023-06,96
EMP12873,2023-07,70
EMP12873,2023-08,96
EMP12873,2023-09,79
EMP12873,2023-10,73
EMP12873,2023-11,77
EMP12873,2023-12,71
EMP12873,2024-01,79
EMP12567,2022-01,98
EMP12567,2022-02,96
EMP12567,2022-03,71
EMP12567,2022-04,90
EMP12567,2022-05,86
EMP12567,2022-06,77
EMP12567,2022-07,95
EMP12567,2022-08,89
EMP12567,2022-09,75
EMP12567,2022-10,98
EMP12567,2022-11,75
EMP12567,2022-12,99
EMP12567,2023-01,89
EMP12567,2023-02,90
EMP12567,2023-03,96
EMP12567,2023-04,75
EMP12567,2023-05,86
EMP12567,2023-06,75
EMP12567,2023-07,83
EMP12567,2023-08,76
EMP12567,2023-09,75
EMP12567,2023-10,73
EMP12567,2023-11,75
EMP12567,2023-12,71
EMP12567,2024-01,70
EMP11928,2022-01,99
EMP11928,2022-02,91
EMP11928,2022-03,85
EMP11928,2022-04,86
EMP11928,2022-05,79
EMP11928,2022-06,89
EMP11928,2022-07,75
EMP11928,2022-08,75
EMP11928,2022-09,77
EMP11928,2022-10,81
EMP11928,2022-11,80
EMP11928,2022-12,98
EMP11928,2023-01,70
EMP11928,2023-02,70
EMP11928,2023-03,96
EMP11928,2023-04,77
EMP11928,2023-05,82
EMP11928,2023-06,74
EMP11928,2023-07,74
EMP11928,2023-08,79
EMP11928,2023-09,88
EMP11928,2023-10,79
EMP11928,2023-11,98
EMP11928,2023-12,95
EMP11928,2024-01,78
EMP10906,2022-01,95
EMP10906,2022-02,77
EMP10906,2022-03,79
EMP10906,2022-04,97
EMP10906,2022-05,93
EMP10906,2022-06,72
EMP10906,2022-07,82
EMP10906,2022-08,80
EMP10906,2022-09,94
EMP10906,2022-10,74
EMP10906,2022-11,70
EMP10906,2022-12,71
EMP10906,2023-01,81
EMP10906,2023-02,92
EMP10906,2023-03,82
EMP10906,2023-04,86
EMP10906,2023-05,71
EMP10906,2023-06,90
EMP10906,2023-07,90
EMP10906,2023-08,75
EMP10906,2023-09,91
EMP10906,2023-10,99
EMP10906,2023-11,96
EMP10906,2023-12,84
EMP10906,2024-01,84
EMP12014,2022-01,82
EMP12014,2022-02,84
EMP12014,2022-03,78
EMP12014,2022-04,81
EMP12014,2022-05,76
EMP12014,2022-06,93
EMP12014,2022-07,90
EMP12014,2022-08,78
EMP12014,2022-09,71
EMP12014,2022-10,76
EMP12014,2022-11,71
EMP12014,2022-12,93
EMP12014,2023-01,82
EMP12014,2023-02,81
EMP12014,2023-03,90
EMP12014,2023-04,96
EMP12014,2023-05,93
EMP12014,2023-06,90
EMP12014,2023-07,84
EMP12014,2023-08,72
EMP12014,2023-09,88
EMP12014,2023-10,75
EMP12014,2023-11,96
EMP12014,2023-12,76
EMP12014,2024-01,80
EMP12268,2022-01,92
EMP12268,2022-02,72
EMP12268,2022-03,71
EMP12268,2022-04,100
EMP12268,2022-05,90
EMP12268,2022-06,98
EMP12268,2022-07,88
EMP12268,2022-08,76
EMP12268,2022-09,80
EMP12268,2022-10,80
EMP12268,2022-11,100
EMP12268,2022-12,98
EMP12268,2023-01,72
EMP12268,2023-02,93
EMP12268,2023-03,76
EMP12268,2023-04,80
EMP12268,2023-05,93
EMP12268,2023-06,81
EMP12268,2023-07,82
EMP12268,2023-08,97
EMP12268,2023-09,70
EMP12268,2023-10,97
EMP12268,2023-11,76
EMP12268,2023-12,89
EMP12268,2024-01,94
EMP11316,2022-01,89
EMP11316,2022-02,73
EMP11316,2022-03,72
EMP11316,2022-04,86
EMP11316,2022-05,72
EMP11316,2022-06,79
EMP11316,2022-07,74
EMP11316,2022-08,97
EMP11316,2022-09,95
EMP11316,2022-10,85
EMP11316,2022-11,86
EMP11316,2022-12,71
EMP11316,2023-01,86
EMP11316,2023-02,77
EMP11316,2023-03,78
EMP11316,2023-04,76
EMP11316,2023-05,70
EMP11316,2023-06,89
EMP11316,2023-07,77
EMP11316,2023-08,78
EMP11316,2023-09,89
EMP11316,2023-10,85
EMP11316,2023-11,87
EMP11316,2023-12,71
EMP11316,2024-01,89
EMP11650,2022-01,77
EMP11650,2022-02,91
EMP11650,2022-03,95
EMP11650,2022-04,93
EMP11650,2022-05,96
EMP11650,2022-06,87
EMP11650,2022-07,100
EMP11650,2022-08,85
EMP11650,2022-09,88
EMP11650,2022-10,95
EMP11650,2022-11,91
EMP11650,2022-12,95
EMP11650,2023-01,70
EMP11650,2023-02,83
EMP11650,2023-03,91
EMP11650,2023-04,96
EMP11650,2023-05,75
EMP11650,2023-06,81
EMP11650,2023-07,70
EMP11650,2023-08,99
EMP11650,2023-09,99
EMP11650,2023-10,88
EMP11650,2023-11,70
EMP11650,2023-12,98
EMP11650,2024-01,91
EMP11043,2022-01,94
EMP11043,2022-02,75
EMP11043,2022-03,85
EMP11043,2022-04,100
EMP11043,2022-05,97
EMP11043,2022-06,98
EMP11043,2022-07,97
EMP11043,2022-08,99
EMP11043,2022-09,84
EMP11043,2022-10,81
EMP11043,2022-11,96
EMP11043,2022-12,75
EMP11043,2023-01,84
EMP11043,2023-02,100
EMP11043,2023-03,87
EMP11043,2023-04,70
EMP11043,2023-05,89
EMP11043,2023-06,98
EMP11043,2023-07,85
EMP11043,2023-08,80
EMP11043,2023-09,99
EMP11043,2023-10,78
EMP11043,2023-11,85
EMP11043,2023-12,85
EMP11043,2024-01,70
EMP10371,2022-01,92
EMP10371,2022-02,88
EMP10371,2022-03,94
EMP10371,2022-04,87
EMP10371,2022-05,71
EMP10371,2022-06,76
EMP10371,2022-07,93
EMP10371,2022-08,86
EMP10371,2022-09,94
EMP10371,2022-10,76
EMP10371,2022-11,72
EMP10371,2022-12,82
EMP10371,2023-01,99
EMP10371,2023-02,92
EMP10371,2023-03,97
EMP10371,2023-04,99
EMP10371,2023-05,81
EMP10371,2023-06,99
EMP10371,2023-07,82
EMP10371,2023-08,75
EMP10371,2023-09,93
EMP10371,2023-10,93
EMP10371,2023-11,99
EMP10371,2023-12,86
EMP10371,2024-01,84
EMP12223,2022-01,73
EMP12223,2022-02,87
EMP12223,2022-03,93
EMP12223,2022-04,93
EMP12223,2022-05,72
EMP12223,2022-06,98
EMP12223,2022-07,89
EMP12223,2022-08,82
EMP12223,2022-09,70
EMP12223,2022-10,89
EMP12223,2022-11,90
EMP12223,2022-12,81
EMP12223,2023-01,93
EMP12223,2023-02,73
EMP12223,2023-03,81
EMP12223,2023-04,90
EMP12223,2023-05,88
EMP12223,2023-06,88
EMP12223,2023-07,74
EMP12223,2023-08,71
EMP12223,2023-09,70
EMP12223,2023-10,74
EMP12223,2023-11,79
EMP12223,2023-12,99
EMP12223,2024-01,98
EMP11672,2022-01,86
EMP11672,2022-02,99
EMP11672,2022-03,83
EMP11672,2022-04,74
EMP11672,2022-05,73
EMP11672,2022-06,82
EMP11672,2022-07,95
EMP11672,2022-08,85
EMP11672,2022-09,82
EMP11672,2022-10,96
EMP11672,2022-11,98
EMP11672,2022-12,93
EMP11672,2023-01,87
EMP11672,2023-02,76
EMP11672,2023-03,77
EMP11672,2023-04,74
EMP11672,2023-05,85
EMP11672,2023-06,83
EMP11672,2023-07,72
EMP11672,2023-08,75
EMP11672,2023-09,82
EMP11672,2023-10,100
EMP11672,2023-11,86
EMP11672,2023-12,88
EMP11672,2024-01,94
EMP12093,2022-01,80
EMP12093,2022-02,79
EMP12093,2022-03,98
EMP12093,2022-04,90
EMP12093,2022-05,91
EMP12093,2022-06,78
EMP12093,2022-07,80
EMP12093,2022-08,71
EMP12093,2022-09,92
EMP12093,2022-10,75
EMP12093,2022-11,80
EMP12093,2022-12,97
EMP12093,2023-01,78
EMP12093,2023-02,96
EMP12093,2023-03,86
EMP12093,2023-04,83
EMP12093,2023-05,89
EMP12093,2023-06,96
EMP12093,2023-07,72
EMP12093,2023-08,86
EMP12093,2023-09,73
EMP12093,2023-10,79
EMP12093,2023-11,82
EMP12093,2023-12,91
EMP12093,2024-01,70
EMP11745,2022-01,78
EMP11745,2022-02,90
EMP11745,2022-03,72
EMP11745,2022-04,84
EMP11745,2022-05,94
EMP11745,2022-06,79
EMP11745,2022-07,81
EMP11745,2022-08,96
EMP11745,2022-09,70
EMP11745,2022-10,83
EMP11745,2022-11,71
EMP11745,2022-12,99
EMP11745,2023-01,98
EMP11745,2023-02,77
EMP11745,2023-03,72
EMP11745,2023-04,79
EMP11745,2023-05,78
EMP11745,2023-06,74
EMP11745,2023-07,94
EMP11745,2023-08,97
EMP11745,2023-09,70
EMP11745,2023-10,74
EMP11745,2023-11,81
EMP11745,2023-12,89
EMP11745,2024-01,76
EMP10123,2022-01,80
EMP10123,2022-02,70
EMP10123,2022-03,85
EMP10123,2022-04,72
EMP10123,2022-05,74
EMP10123,2022-06,77
EMP10123,2022-07,99
EMP10123,2022-08,93
EMP10123,2022-09,88
EMP10123,2022-10,85
EMP10123,2022-11,80
EMP10123,2022-12,90
EMP10123,2023-01,97
EMP10123,2023-02,78
EMP10123,2023-03,80
EMP10123,2023-04,87
EMP10123,2023-05,81
EMP10123,2023-06,80
EMP10123,2023-07,76
EMP10123,2023-08,92
EMP10123,2023-09,87
EMP10123,2023-10,75
EMP10123,2023-11,77
EMP10123,2023-12,82
EMP10123,2024-01,72
EMP10281,2022-01,94
EMP10281,2022-02,93
EMP10281,2022-03,97
EMP10281,2022-04,99
EMP10281,2022-05,72
EMP10281,2022-06,92
EMP10281,2022-07,84
EMP10281,2022-08,77
EMP10281,2022-09,84
EMP10281,2022-10,70
EMP10281,2022-11,72
EMP10281,2022-12,95
EMP10281,2023-01,81
EMP10281,2023-02,78
EMP10281,2023-03,76
EMP10281,2023-04,70
EMP10281,2023-05,90
EMP10281,2023-06,100
EMP10281,2023-07,97
EMP10281,2023-08,99
EMP10281,2023-09,80
EMP10281,2023-10,100
EMP10281,2023-11,79
EMP10281,2023-12,88
EMP10281,2024-01,71
EMP11875,2022-01,82
EMP11875,2022-02,99
EMP11875,2022-03,86
EMP11875,2022-04,71
EMP11875,2022-05,70
EMP11875,2022-06,91
EMP11875,2022-07,94
EMP11875,2022-08,72
EMP11875,2022-09,95
EMP11875,2022-10,79
EMP11875,2022-11,70
EMP11875,2022-12,83
EMP11875,2023-01,91
EMP11875,2023-02,75
EMP11875,2023-03,87
EMP11875,2023-04,89
EMP11875,2023-05,99
EMP11875,2023-06,98
EMP11875,2023-07,83
EMP11875,2023-08,81
EMP11875,2023-09,96
EMP11875,2023-10,80
EMP11875,2023-11,84
EMP11875,2023-12,97
EMP11875,2024-01,90
EMP12063,2022-01,75
EMP12063,2022-02,91
EMP12063,2022-03,71
EMP12063,2022-04,83
EMP12063,2022-05,74
EMP12063,2022-06,84
EMP12063,2022-07,74
EMP12063,2022-08,79
EMP12063,2022-09,83
EMP12063,2022-10,87
EMP12063,2022-11,92
EMP12063,2022-12,95
EMP12063,2023-01,71
EMP12063,2023-02,86
EMP12063,2023-03,97
EMP12063,2023-04,75
EMP12063,2023-05,100
EMP12063,2023-06,70
EMP12063,2023-07,73
EMP12063,2023-08,89
EMP12063,2023-09,91
EMP12063,2023-10,97
EMP12063,2023-11,84
EMP12063,2023-12,90
EMP12063,2024-01,73
EMP10599,2022-01,91
EMP10599,2022-02,95
EMP10599,2022-03,74
EMP10599,2022-04,92
EMP10599,2022-05,90
EMP10599,2022-06,94
EMP10599,2022-07,88
EMP10599,2022-08,84
EMP10599,2022-09,83
EMP10599,2022-10,82
EMP10599,2022-11,87
EMP10599,2022-12,100
EMP10599,2023-01,98
EMP10599,2023-02,70
EMP10599,2023-03,90
EMP10599,2023-04,80
EMP10599,2023-05,100
EMP10599,2023-06,81
EMP10599,2023-07,98
EMP10599,2023-08,93
EMP10599,2023-09,94
EMP10599,2023-10,72
EMP10599,2023-11,92
EMP10599,2023-12,85
EMP10599,2024-01,73
EMP11136,2022-01,85
EMP11136,2022-02,92
EMP11136,2022-03,90
EMP11136,2022-04,75
EMP11136,2022-05,93
EMP11136,2022-06,95
EMP11136,2022-07,98
EMP11136,2022-08,95
EMP11136,2022-09,94
EMP11136,2022-10,77
EMP11136,2022-11,75
EMP11136,2022-12,97
EMP11136,2023-01,90
EMP11136,2023-02,100
EMP11136,2023-03,73
EMP11136,2023-04,99
EMP11136,2023-05,71
EMP11136,2023-06,77
EMP11136,2023-07,72
EMP11136,2023-08,85
EMP11136,2023-09,75
EMP11136,2023-10,86
EMP11136,2023-11,90
EMP11136,2023-12,72
EMP11136,2024-01,83
EMP11338,2022-01,70
EMP11338,2022-02,76
EMP11338,2022-03,93
EMP11338,2022-04,79
EMP11338,2022-05,94
EMP11338,2022-06,89
EMP11338,2022-07,71
EMP11338,2022-08,83
EMP11338,2022-09,77
EMP11338,2022-10,94
EMP11338,2022-11,89
EMP11338,2022-12,75
EMP11338,2023-01,97
EMP11338,2023-02,74
EMP11338,2023-03,98
EMP11338,2023-04,94
EMP11338,2023-05,81
EMP11338,2023-06,80
EMP11338,2023-07,89
EMP11338,2023-08,92
EMP11338,2023-09,87
EMP11338,2023-10,70
EMP11338,2023-11,70
EMP11338,2023-12,74
EMP11338,2024-01,76
EMP11887,2022-01,81
EMP11887,2022-02,74
EMP11887,2022-03,83
EMP11887,2022-04,89
EMP11887,2022-05,99
EMP11887,2022-06,78
EMP11887,2022-07,87
EMP11887,2022-08,87
EMP11887,2022-09,79
EMP11887,2022-10,86
EMP11887,2022-11,74
EMP11887,2022-12,97
EMP11887,2023-01,74
EMP11887,2023-02,70
EMP11887,2023-03,75
EMP11887,2023-04,90
EMP11887,2023-05,76
EMP11887,2023-06,80
EMP11887,2023-07,100
EMP11887,2023-08,97
EMP11887,2023-09,70
EMP11887,2023-10,72
EMP11887,2023-11,82
EMP11887,2023-12,85
EMP11887,2024-01,95
EMP11445,2022-01,82
EMP11445,2022-02,78
EMP11445,2022-03,75
EMP11445,2022-04,87
EMP11445,2022-05,98
EMP11445,2022-06,94
EMP11445,2022-07,72
EMP11445,2022-08,88
EMP11445,2022-09,87
EMP11445,2022-10,74
EMP11445,2022-11,72
EMP11445,2022-12,91
EMP11445,2023-01,74
EMP11445,2023-02,80
EMP11445,2023-03,94
EMP11445,2023-04,95
EMP11445,2023-05,79
EMP11445,2023-06,83
EMP11445,2023-07,97
EMP11445,2023-08,88
EMP11445,2023-09,88
EMP11445,2023-10,73
EMP11445,2023-11,90
EMP11445,2023-12,79
EMP11445,2024-01,93
EMP10250,2022-01,87
EMP10250,2022-02,95
EMP10250,2022-03,86
EMP10250,2022-04,92
EMP10250,2022-05,77
EMP10250,2022-06,74
EMP10250,2022-07,77
EMP10250,2022-08,99
EMP10250,2022-09,77
EMP10250,2022-10,73
EMP10250,2022-11,79
EMP10250,2022-12,96
EMP10250,2023-01,88
EMP10250,2023-02,98
EMP10250,2023-03,78
EMP10250,2023-04,84
EMP10250,2023-05,89
EMP10250,2023-06,75
EMP10250,2023-07,87
EMP10250,2023-08,92
EMP10250,2023-09,81
EMP10250,2023-10,76
EMP10250,2023-11,91
EMP10250,2023-12,81
EMP10250,2024-01,83
EMP12000,2022-01,83
EMP12000,2022-02,80
EMP12000,2022-03,86
EMP12000,2022-04,87
EMP12000,2022-05,72
EMP12000,2022-06,88
EMP12000,2022-07,75
EMP12000,2022-08,96
EMP12000,2022-09,77
EMP12000,2022-10,72
EMP12000,2022-11,89
EMP12000,2022-12,78
EMP12000,2023-01,81
EMP12000,2023-02,77
EMP12000,2023-03,77
EMP12000,2023-04,70
EMP12000,2023-05,94
EMP12000,2023-06,76
EMP12000,2023-07,99
EMP12000,2023-08,79
EMP12000,2023-09,85
EMP12000,2023-10,73
EMP12000,2023-11,82
EMP12000,2023-12,91
EMP12000,2024-01,100
EMP12290,2022-01,86
EMP12290,2022-02,98
EMP12290,2022-03,80
EMP12290,2022-04,84
EMP12290,2022-05,93
EMP12290,2022-06,85
EMP12290,2022-07,78
EMP12290,2022-08,85
EMP12290,2022-09,94
EMP12290,2022-10,99
EMP12290,2022-11,81
EMP12290,2022-12,78
EMP12290,2023-01,84
EMP12290,2023-02,98
EMP12290,2023-03,86
EMP12290,2023-04,95
EMP12290,2023-05,95
EMP12290,2023-06,81
EMP12290,2023-07,79
EMP12290,2023-08,94
EMP12290,2023-09,100
EMP12290,2023-10,100
EMP12290,2023-11,95
EMP12290,2023-12,75
EMP12290,2024-01,96
EMP11904,2022-01,97
EMP11904,2022-02,75
EMP11904,2022-03,70
EMP11904,2022-04,71
EMP11904,2022-05,96
EMP11904,2022-06,79
EMP11904,2022-07,77
EMP11904,2022-08,87
EMP11904,2022-09,79
EMP11904,2022-10,78
EMP11904,2022-11,89
EMP11904,2022-12,80
EMP11904,2023-01,73
EMP11904,2023-02,99
EMP11904,2023-03,97
EMP11904,2023-04,74
EMP11904,2023-05,76
EMP11904,2023-06,96
EMP11904,2023-07,86
EMP11904,2023-08,78
EMP11904,2023-09,84
EMP11904,2023-10,75
EMP11904,2023-11,98
EMP11904,2023-12,74
EMP11904,2024-01,82
EMP12613,2022-01,90
EMP12613,2022-02,86
EMP12613,2022-03,70
EMP12613,2022-04,92
EMP12613,2022-05,87
EMP12613,2022-06,83
EMP12613,2022-07,81
EMP12613,2022-08,73
EMP12613,2022-09,77
EMP12613,2022-10,75
EMP12613,2022-11,97
EMP12613,2022-12,89
EMP12613,2023-01,92
EMP12613,2023-02,100
EMP12613,2023-03,92
EMP12613,2023-04,86
EMP12613,2023-05,70
EMP12613,2023-06,90
EMP12613,2023-07,76
EMP12613,2023-08,75
EMP12613,2023-09,86
EMP12613,2023-10,92
EMP12613,2023-11,86
EMP12613,2023-12,83
EMP12613,2024-01,71
EMP12903,2022-01,85
EMP12903,2022-02,96
EMP12903,2022-03,82
EMP12903,2022-04,85
EMP12903,2022-05,82
EMP12903,2022-06,95
EMP12903,2022-07,80
EMP12903,2022-08,92
EMP12903,2022-09,70
EMP12903,2022-10,82
EMP12903,2022-11,96
EMP12903,2022-12,99
EMP12903,2023-01,81
EMP12903,2023-02,74
EMP12903,2023-03,100
EMP12903,2023-04,84
EMP12903,2023-05,72
EMP12903,2023-06,73
EMP12903,2023-07,84
EMP12903,2023-08,97
EMP12903,2023-09,84
EMP12903,2023-10,83
EMP12903,2023-11,93
EMP12903,2023-12,78
EMP12903,2024-01,75
EMP12008,2022-01,80
EMP12008,2022-02,98
EMP12008,2022-03,85
EMP12008,2022-04,82
EMP12008,2022-05,80
EMP12008,2022-06,71
EMP12008,2022-07,87
EMP12008,2022-08,94
EMP12008,2022-09,78
EMP12008,2022-10,84
EMP12008,2022-11,83
EMP12008,2022-12,79
EMP12008,2023-01,76
EMP12008,2023-02,99
EMP12008,2023-03,73
EMP12008,2023-04,99
EMP12008,2023-05,84
EMP12008,2023-06,89
EMP12008,2023-07,87
EMP12008,2023-08,98
EMP12008,2023-09,95
EMP12008,2023-10,98
EMP12008,2023-11,91
EMP12008,2023-12,92
EMP12008,2024-01,92
EMP12510,2022-01,98
EMP12510,2022-02,81
EMP12510,2022-03,75
EMP12510,2022-04,97
EMP12510,2022-05,75
EMP12510,2022-06,81
EMP12510,2022-07,90
EMP12510,2022-08,93
EMP12510,2022-09,74
EMP12510,2022-10,78
EMP12510,2022-11,92
EMP12510,2022-12,71
EMP12510,2023-01,81
EMP12510,2023-02,80
EMP12510,2023-03,72
EMP12510,2023-04,93
EMP12510,2023-05,98
EMP12510,2023-06,78
EMP12510,2023-07,100
EMP12510,2023-08,77
EMP12510,2023-09,71
EMP12510,2023-10,98
EMP12510,2023-11,95
EMP12510,2023-12,74
EMP12510,2024-01,85
EMP10051,2022-01,97
EMP10051,2022-02,78
EMP10051,2022-03,77
EMP10051,2022-04,73
EMP10051,2022-05,83
EMP10051,2022-06,81
EMP10051,2022-07,92
EMP10051,2022-08,96
EMP10051,2022-09,88
EMP10051,2022-10,88
EMP10051,2022-11,88
EMP10051,2022-12,91
EMP10051,2023-01,82
EMP10051,2023-02,98
EMP10051,2023-03,94
EMP10051,2023-04,88
EMP10051,2023-05,72
EMP10051,2023-06,77
EMP10051,2023-07,98
EMP10051,2023-08,93
EMP10051,2023-09,95
EMP10051,2023-10,83
EMP10051,2023-11,76
EMP10051,2023-12,73
EMP10051,2024-01,86
EMP11300,2022-01,90
EMP11300,2022-02,82
EMP11300,2022-03,81
EMP11300,2022-04,100
EMP11300,2022-05,78
EMP11300,2022-06,76
EMP11300,2022-07,82
EMP11300,2022-08,72
EMP11300,2022-09,77
EMP11300,2022-10,80
EMP11300,2022-11,74
EMP11300,2022-12,79
EMP11300,2023-01,71
EMP11300,2023-02,71
EMP11300,2023-03,91
EMP11300,2023-04,72
EMP11300,2023-05,75
EMP11300,2023-06,85
EMP11300,2023-07,88
EMP11300,2023-08,89
EMP11300,2023-09,84
EMP11300,2023-10,79
EMP11300,2023-11,81
EMP11300,2023-12,82
EMP11300,2024-01,99
EMP10239,2022-01,84
EMP10239,2022-02,91
EMP10239,2022-03,76
EMP10239,2022-04,85
EMP10239,2022-05,82
EMP10239,2022-06,70
EMP10239,2022-07,94
EMP10239,2022-08,92
EMP10239,2022-09,78
EMP10239,2022-10,70
EMP10239,2022-11,75
EMP10239,2022-12,83
EMP10239,2023-01,88
EMP10239,2023-02,73
EMP10239,2023-03,99
EMP10239,2023-04,72
EMP10239,2023-05,74
EMP10239,2023-06,83
EMP10239,2023-07,87
EMP10239,2023-08,71
EMP10239,2023-09,92
EMP10239,2023-10,85
EMP10239,2023-11,73
EMP10239,2023-12,73
EMP10239,2024-01,98
EMP11106,2022-01,93
EMP11106,2022-02,80
EMP11106,2022-03,76
EMP11106,2022-04,85
EMP11106,2022-05,87
EMP11106,2022-06,80
EMP11106,2022-07,74
EMP11106,2022-08,72
EMP11106,2022-09,71
EMP11106,2022-10,83
EMP11106,2022-11,74
EMP11106,2022-12,72
EMP11106,2023-01,72
EMP11106,2023-02,93
EMP11106,2023-03,84
EMP11106,2023-04,88
EMP11106,2023-05,92
EMP11106,2023-06,93
EMP11106,2023-07,85
EMP11106,2023-08,96
EMP11106,2023-09,81
EMP11106,2023-10,74
EMP11106,2023-11,90
EMP11106,2023-12,72
EMP11106,2024-01,80
EMP12169,2022-01,76
EMP12169,2022-02,75
EMP12169,2022-03,97
EMP12169,2022-04,83
EMP12169,2022-05,85
EMP12169,2022-06,92
EMP12169,2022-07,79
EMP12169,2022-08,73
EMP12169,2022-09,85
EMP12169,2022-10,88
EMP12169,2022-11,76
EMP12169,2022-12,96
EMP12169,2023-01,72
EMP12169,2023-02,72
EMP12169,2023-03,85
EMP12169,2023-04,73
EMP12169,2023-05,80
EMP12169,2023-06,79
EMP12169,2023-07,70
EMP12169,2023-08,100
EMP12169,2023-09,87
EMP12169,2023-10,99
EMP12169,2023-11,88
EMP12169,2023-12,97
EMP12169,2024-01,99
EMP11659,2022-01,80
EMP11659,2022-02,85
EMP11659,2022-03,91
EMP11659,2022-04,89
EMP11659,2022-05,99
EMP11659,2022-06,100
EMP11659,2022-07,78
EMP11659,2022-08,76
EMP11659,2022-09,74
EMP11659,2022-10,79
EMP11659,2022-11,94
EMP11659,2022-12,80
EMP11659,2023-01,97
EMP11659,2023-02,92
EMP11659,2023-03,91
EMP11659,2023-04,89
EMP11659,2023-05,74
EMP11659,2023-06,100
EMP11659,2023-07,91
EMP11659,2023-08,86
EMP11659,2023-09,87
EMP11659,2023-10,84
EMP11659,2023-11,99
EMP11659,2023-12,81
